"아이디","강의 아이디","강의 카테고리 아이디","강의 카테고리명","강의 명","비용","강의 구분","주차 사용 여부","분반 일련번호","수강신청 시작 일자","강의 시작 일자","등록 일자","수강신청 시작 일자","수료증 로트 명","기관 아이디","기관명","기관 구","X좌표","Y좌표","요청여부","인기여부","신규여부","상태","강의 이미지 파일 경로","수집데이터 아이디","과목 아이디","미리보기 주소","콘텐츠 아이디","회차번호","회차수"
"ASP00001","ASP00001S100120240107193","20230313417069","기타","2024년 서울특별시의회 의정모니터 교육","무료","1","N","01","2024.04.09~2024.12.31","수강신청일로부터15일","2024.04.08","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/04/썸네일[3].jpg","","S12317","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107193/01.mp4/playlist.m3u8","202404081558061712559486786","131619","1"
"ASP00001","ASP00001S100120240107179","202303091900217","셀프브랜딩","김경일 교수의 변화를 이끌어 내는 마음리더십","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/04/HLSP24508.jpg","","S12307","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107179/01.mp4/playlist.m3u8","202404021418411712035121658","131497","1"
"ASP00001","ASP00001S100120240107188","202303098005472","리더십/인사조직","[켄블랜차드의 SLⅡ리더십] 영감을 주는 리더로 거듭나다","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/04/HLSP75825.jpg","","S12316","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107188/01.mp4/playlist.m3u8","202404031010491712106649860","131606","1"
"ASP00001","ASP00001S100120240107182","202303098005472","리더십/인사조직","미라클, 스포츠 명가에게 배운다","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/04/HLSP34124.jpg","","S12310","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107182/01.mp4/playlist.m3u8","202404021448081712036888021","131540","1"
"ASP00001","ASP00001S100120240107180","202303091900217","셀프브랜딩","[북콘서트] 인생을 바꾸는 커리어 멘토링","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107180.png","","S12308","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107180/01.mp4/playlist.m3u8","202404021430381712035838614","131513","1"
"ASP00001","ASP00001S100120240107186","202303098005472","리더십/인사조직","팀워크로 승리하라","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/04/HLSP66801.jpg","","S12314","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107186/01.mp4/playlist.m3u8","202404031009371712106577626","131583","1"
"ASP00001","ASP00001S100120240107184","202303098005472","리더십/인사조직","슬기로운 리더생활: MZ세대 맞춤형 코칭","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/04/HLSP38380.jpg","","S12312","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107184/01.mp4/playlist.m3u8","202404021509481712038188346","131567","1"
"ASP00001","ASP00001S100120240107183","202303098005472","리더십/인사조직","[Z세대 PICK] 하마터면 꼰대가 될 뻔했다","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/04/HLSP34007.jpg","","S12311","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107183/01.mp4/playlist.m3u8","202404021433121712035992653","131557","1"
"ASP00001","ASP00001S100120240107187","202303098005472","리더십/인사조직","코칭 포유_끌리는 리더의 Coaching Secret","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/04/HLSP61432.jpg","","S12315","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107187/01.mp4/playlist.m3u8","202404031007371712106457600","131593","1"
"ASP00001","ASP00001S100120240107185","202303091900217","셀프브랜딩","[강점리더십] 몰입을 이끄는 강점 활용법","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/04/HLSP42724.jpg","","S12313","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107185/01.mp4/playlist.m3u8","202404031006161712106376624","131575","1"
