"사이트 아이디","ASP 아이디","강의 아이디","강의 구분","강의 명","수강신청 시작 일자","수강신청 종료 일자","강의 시작 일자","강의 종료 일자","강의대상","정원","수강신청 URL","등록 일자","수정 일자","교육기관 고유아이디","교육기관명","교육기관 자치구","교육기관 위도 좌표","교육기관 경도 좌표"
"lc1","ASP00001","ASP00001Z401120240000072","오프라인","컴퓨터 활용능력 실습반","202406100000","202407030000","20240703","20240729","","16","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoardAll&sMode=VIEW_FORM&iBrdNo=1&iBrdContNo=39&sBrdContRe=0&sSearchField=&sSearchValue=&CurrentPage=1","20240610111044","20240610111044","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001Z401120240000071","오프라인","chat GPT를 활용한 영상콘텐츠 제작","202406100000","202407020000","20240702","20240723","","15","https://www.seoullifelong.co.kr/index.php?module=Board&action=SiteBoard&sMode=VIEW_FORM&iBrdNo=1&iBrdContNo=38&sBrdContRe=0&sSearchField=&sSearchValue=&CurrentPage=1","20240610111044","20240610111044","Z4011","서울관악복합평생교육센터","관악구","37.4726115","126.957554"
"lc1","ASP00001","ASP00001J404420240110762","오프라인","정리수납컨설턴트 2급","202401260000","202406260000","20240626","20240729","","20","https://ep.seoulwomanup.or.kr/ep/edu/selectEduProgram.do?sch_class_code=C100124446&returnUrl=%2Fep%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_","20240605114500","20240605114500","J4044","은평여성인력개발센터","은평구 ","37.6070999","126.932300"
"lc1","ASP00001","ASP00001J404920240110524","오프라인","[수 오후]붓켄 캘리그라피(초급)","202405290000","202407032359","20240703","20240828","","12","https://dongjak.seoulwomanup.or.kr/dongjak/edu/selectEduProgram.do?sch_class_code=C100142191&returnUrl=%2Fdongjak%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EC%BA%98%EB%A6%AC&currentPage=1","20240605114500","20240605114500","J4049","동작여성인력개발센터","동작구   ","37.4851778","126.980578"
"lc1","ASP00001","ASP00001J403620240110525","오프라인","사회복지현장실무자양성과정","202406030000","202407262359","20240806","20241011","","20","https://bukbu.seoulwomanup.or.kr/bukbu/common/bbs/selectBBS.do?bbs_code=B0673&bbs_seq=137742","20240605114500","20240605114500","J4036","북부여성발전센터","노원구   ","37.6428108","127.061264"
"lc1","ASP00001","ASP00001J403620240110526","오프라인","초등돌봄전담사양성과정","202406190000","202407262359","20240808","20241024","","20","https://bukbu.seoulwomanup.or.kr/bukbu/edu/selectPageListEduProgram.do","20240605114500","20240605114500","J4036","북부여성발전센터","노원구   ","37.6428108","127.061264"
"lc1","ASP00001","ASP00001J403620240110528","오프라인","요양보호사취득-7월신규자반","202406100000","202407011800","20240701","20240826","","25","https://bukbu.seoulwomanup.or.kr/bukbu/common/bbs/selectBBS.do?bbs_code=B0673&bbs_seq=137698","20240605114500","20240605114500","J4036","북부여성발전센터","노원구   ","37.6428108","127.061264"
"lc1","ASP00001","ASP00001J403620240110529","오프라인","요양보호사취득-7월사회복지사 소지자반(야간)","202406190000","202407101800","20240710","20240831","","25","https://bukbu.seoulwomanup.or.kr/bukbu/common/bbs/selectBBS.do?bbs_code=B0673&bbs_seq=137698","20240605114500","20240605114500","J4036","북부여성발전센터","노원구   ","37.6428108","127.061264"
"lc1","ASP00001","ASP00001J403620240110531","오프라인","전산회계2급 자격증","202406100900","202407031800","20240706","20240928","","20","https://bukbu.seoulwomanup.or.kr/bukbu/common/bbs/selectBBS.do?bbs_code=B0673&bbs_seq=137780","20240605114500","20240605114500","J4036","북부여성발전센터","노원구   ","37.6428108","127.061264"
"lc1","ASP00001","ASP00001J401520240110535","오프라인","AI 시대 신직업, 프롬프트 디자이너 도전하기","202406030900","202407082359","20240709","20240730","","20","https://50plus.or.kr/ssc/education-detail.do?id=40761847","20240605114500","20240605114500","J4015","서울시50플러스 남부캠퍼스","구로구","37.4887582","126.842754"
