강의 명,강의 카테고리명
"[집콕강좌] 식민도시 경성, 차별부터 파괴까지",인문학
"대답해드림 - 인왕산, 북악산, 낙산 일대",인문학
대답해드림 - 남산 일대,인문학
[집콕강좌] 지하철을 탄 서울史,인문학
[집콕강좌] 서울 사람들의 생로병사,인문학
[집콕강좌] 다시 집을 생각하다,인문학
아동학대예방 법정의무교육(신고의무자 및 공공부문) 수어포함,인권
아동학대예방 법정의무교육(신고의무자 및 공공부문) Educational program on child abuse prevention,인권
"탄소중립, ESG 시대를 준비하라",직무역량과정
[업스킬] 초보자도 따라하기 쉬운 영상 편집 올인원(프리미어 프로＆애프터이펙트),방송/영상
박문각 공인중개사 1차 - 문제풀이 - 민법 및 민사특별법,공인중개사
창업을 이노베이션하자!,창업과정
박문각 공인중개사 2차 - 개념완성 - 부동산공법,공인중개사
"자녀와의 대화, 설득하려 들지 말고 협상해라",부모교육
데이터 분석 입문,전문기술과정
힙한 브랜드는 왜 채널 마케팅에 진심일까?,방송/영상
중장년 퇴직자의 실패하지 않는 창업,창업과정
인스타그램 홍보 전략을 통해 배우는 브랜딩 입문,방송/영상
2024년 서울청년정책네트워크 시정참여교육,사회/교양
뉴노멀시대의 창업하기,창업과정
합격 전기기사 필기 - 자동제어,국가기술자격
요즘 마케터의 ChatGPT 활용법,방송/영상
"지금 당장 ESG, 실무자가 직접 쓴 ESG 실무지침서",직무역량과정
박문각 공인중개사 1차 - 문제풀이 - 부동산학개론,공인중개사
[HD]누구나 할수있다. 이모티콘 디자이너가 되어보자. Part.4 힙합 캐릭터 만들기,웹툰/이모티콘
ESG 확산과 환경경영(지속가능경영) 전략,직무역량과정
[Get it Trend] 한달 공부로 실무에 바로 통하는 데이터분석,전문기술과정
박문각 공인중개사 2차 - 문제풀이 - 부동산세법,공인중개사
[H Pick+셀] ESG 바로알기,직무역량과정
집에서?영어로 놀자?아기 영어 놀이1(발달 단계별),부모교육
문성후 박사의 ESG 실천 전략,직무역량과정
좋은 부모가 될 수 있을까요?,부모교육
집에서?영어로 놀자?아기 영어 놀이2(오감 체험 활동),부모교육
청소년 자녀의 마음 성장 이야기,부모교육
[HD]누구나 할수있다. 이모티콘 디자이너가 되어보자. Part.5 디아블로코믹 이모티콘 만들기,웹툰/이모티콘
한 끗 차이로 트렌드가 되는 SNS 광고 마케팅,콘텐츠산업 전문과정
트랜드에 맞는 프랜차이즈 창업,창업과정
[HD]누구나 할수있다. 이모티콘 디자이너가 되어보자. Part.6 삐에로 이모티콘 만들기,웹툰/이모티콘
뉴노멀시대의 세상을 살리는 창업,창업과정
제대로 알고 하는 소자본 무인 창업,창업과정
[사춘기 심리학] 청소년 정신건강 코칭,부모교육
박문각 공인중개사 2차 - 문제풀이 - 부동산중개사법 및 중개실무,공인중개사
박문각 공인중개사 2차 - 문제풀이 - 부동산공법,공인중개사
박문각 공인중개사 2차 - 개념완성 - 부동산세법,공인중개사
[부모코칭] 우리 아이 자존감 향상Ⅰ - 자존감 이해,부모교육
데이터 분석 기획,전문기술과정
아이의 사춘기 더 이상 두려워하지 마세요!,부모교육
박문각 공인중개사 2차 - 문제풀이 - 부동산공시법,공인중개사
[HD]Photoshop 제대로 배우기 - 기초,방송/영상
[부모코칭] 우리 아이 자존감 향상Ⅱ - 자존감 향상,부모교육
박문각 공인중개사 1차 - 개념완성 - 부동산학개론,공인중개사
박문각 공인중개사 2차 - 개념완성 - 부동산공시법,공인중개사
박문각 공인중개사 2차 - 개념완성 - 부동산중개사법 및 중개실무,공인중개사
[실전창업] 중?장년을 위한 성공적 창업 솔루션,창업과정
"[세일즈 뉴노멀] Value Selling을 통한 거래 확대, 핵심 거래처 관리 전략",직무역량과정
가상세계로 떠나는 메타버스 튜토리얼,전문기술과정
박문각 주택관리사 - 심화 - 주택관리 관계법규,주택관리사
실전 원가회계 : 생산성을 업그레이드하라!,금융/회계
Get! 꿀~ 직장인의 세금 상식,금융/회계
사회복지사 1급 이론 - 사회복지법제와 실천,사회복지사
HR도 ChatGPT로 하는 시대가 왔다,전문기술과정
사회복지사 1급 기출문제풀이 - 인간행동과 사회환경,사회복지사
박문각 주택관리사 - 기본 - 공동주택 시설개론,주택관리사
출근길 회계 회화 챌린지: 회계 까막눈 극복 프로젝트,금융/회계
"스타트업, 반드시 성공하는 창업 로드맵",창업과정
박문각 주택관리사 - 문제풀이 - 주택관리 관계법규,주택관리사
박문각 주택관리사 - 문제풀이 - 민법,주택관리사
"핫한 그 회사, 진짜 잘 나갈까?",금융/회계
사회복지사 1급 이론 - 사회복지행정론,사회복지사
메타버스로 혁신하는 비즈니스 전략,전문기술과정
박문각 주택관리사 - 기본 - 회계원리,주택관리사
디지털 대전환을 주도하는 플랫폼과 사물인터넷,전문기술과정
사회복지사 1급 이론 - 사회복지실천론,사회복지사
사회복지사 1급 이론 - 인간행동과 사회환경,사회복지사
[How to ESG] 지속가능경영을 위한 필연적인 여정,경영일반
"뉴 커머스 시대, 새로운 소비 혁명을 이끌다",경영일반
팔리는 브랜드 경험을 만드는 데이터 마케팅,직무역량과정
사회복지사 1급 이론 - 사회복지조사론,사회복지사
요양보호사_모의고사,기타
기업의 미래를 바꾸는 디지털 혁신 기술,전문기술과정
관광통역안내사_관광자원해설,기타
박문각 주택관리사 - 기본 - 주택관리 관계법규,주택관리사
사회복지사 1급 기출문제풀이 - 사회복지실천기술론,사회복지사
청소년상담사 3급 - 심리측정 및 평가,기타
사회복지사 1급 이론 - 사회복지실천기술론,사회복지사
요양보호사_기본 요양보호각론,기타
사회복지사 1급 이론 - 사회복지정책론,사회복지사
사회복지사 1급 기출문제풀이 - 사회복지행정론,사회복지사
박문각 주택관리사 - 심화 - 회계원리,주택관리사
박문각 주택관리사 - 심화 - 공동주택 관리실무,주택관리사
청소년상담사 3급 - 상담이론,기타
박문각 주택관리사 - 문제풀이 - 회계원리,주택관리사
"온리원이 되는 생존 브랜딩, 브랜드 전략",직무역량과정
관광통역안내사_관광법규,기타
"데이터로 말하는 마케터, 데이터 드리븐 마케팅",직무역량과정
직장인의 기본 상식! 세무회계,금융/회계
"새로운 디지털 혁명, 블록체인",전문기술과정
SKIP없는 콘텐츠마케터의 트렌디한 전략,직무역량과정
사회복지사 1급 기출문제풀이 - 사회복지정책론,사회복지사
사회복지사 1급 기출문제풀이 - 사회복지조사론,사회복지사
사장님은 처음이지? 창업 멘토 박정호의 실전 창업,창업과정
[정도진의 절대회계] 회계를 알면 기업이 보인다,금융/회계
읽으면 사게 되는 세일즈 글쓰기,직무역량과정
박문각 주택관리사 - 문제풀이 - 공동주택 관리실무,주택관리사
박문각 주택관리사 - 심화 - 민법,주택관리사
"퍼포먼스마케터, 그로스마케팅으로 떨어지는 효율 올리는 법",직무역량과정
브랜드의 찐팬을 만드는 실전 CS 전략,직무역량과정
사회복지사 1급 기출문제풀이 - 사회복지법제와 실천,사회복지사
"[세일즈 뉴노멀] 어쩌다 고성과자, 세일즈마케팅을 통한 신시장 개척",직무역량과정
청소년상담사 3급 - 발달심리,기타
청소년상담사 3급 - 집단상담의 기초,기타
[국가공인자격증] 김도연의 임상심리사 2급(필기),기타
요양보호사_요양보호개론,기타
[버츄얼 셀링] 만나지 않았지만 계약합니다,직무역량과정
[국가공인자격증] 김도연의 임상심리사 2급(실기),기타
사회복지사 1급 기출문제풀이 - 지역사회복지론,사회복지사
관광통역안내사_국사,기타
요양보호사_특수 요양보호각론,기타
관광통역안내사_관광학개론,기타
사회복지사 1급 이론 - 지역사회복지론,사회복지사
박문각 주택관리사 - 기본 - 민법,주택관리사
청소년상담사 3급 - 학습이론,기타
[정도진의 절대회계] 내부회계관리제도,금융/회계
ESG X Tech : DX시대의 ESG 경영 전략,직무역량과정
청소년상담사 3급 - 청소년이해론,기타
박문각 주택관리사 - 심화 - 공동주택 시설개론,주택관리사
"비즈니스 혁명, 메타버스에 탑승하라",전문기술과정
박문각 주택관리사 - 문제풀이 - 공동주택 시설개론,주택관리사
사회복지사 1급 기출문제풀이 - 사회복지실천론,사회복지사
"기술이 소비를 바꾼다, 리테일의 미래",경영일반
요양보호사_요양보호 관련 기초지식,기타
서울시 폭력예방 통합교육(가정폭력편),기타
서울시 폭력예방 통합교육(직장 내 성희롱편),기타
서울시 폭력예방 통합교육(성매매편),기타
서울시 폭력예방 통합교육(직장 내 성폭력편),기타
네이버가 픽한 슬기로운 일상영어생활 플러스 Step 2,영어
일잘러의 진짜 엑셀 - 기본,OA활용
세계를 움직인 역사 속 리더들,인문학
[오늘부터 정시퇴근] 엑셀 실무 테크닉 - 빅데이터 분석&시각화편,OA활용
코리안브로스 TALK!TALK 10분 리얼영어 (언어차이 feat.외국인),영어
[다시일] 다시 시작하는 일본어회화 기초 Step1,일본어
도시와 공간을 잇는 인문 기행,문화예술
답이 바로 나오는 퀵 토익 스피킹 IM－IH 공략 Step 1,영어
미술의 마음,문화예술
고전에서 찾은 가족의 의미,부모교육
합격 전기(산업)기사 필기 - 전기자기학,국가기술자격
0순위 왕초보 영어회화 Step2,영어
10분으로 쉽게 마스터하는 비즈니스 이메일 영어 Step2,영어
답이 바로 나오는 퀵 토익 스피킹 AL－AH 공략 Step 1,영어
키워드로 듣고 답하는 퀵 오픽 AL+ Step2 빈출주제,영어
하루 10분! 뇌운동 프로젝트 - 프랑스어 실전 트레이닝,기타외국어
키워드로 듣고 답하는 퀵 오픽 IM+ Step1,영어
밥상에서 배우는 오이시이 일본어,일본어
[다시영] 다시 시작하는 영어회화 실전 Step2,영어
스낵영어_신기한 영어 세계로의 글로벌 여행기 3탄 <유럽권>,영어
[Tech briefing] 빅테크의 모든 것,신기술교육
12345 스페인어 첫걸음 회화 왕초보도 쉽게 말하기 Step 3 - 네다섯 마디로 기막히고 끝내주게 말해요,기타외국어
[HD]사무자동화산업기사 실기 - 데이터베이스,국가기술자격
[오늘부터 정시퇴근] 엑셀 실무 테크닉 - 일잘러의 보고서 작성편,OA활용
아는 만큼 보이는 우주 이야기,문화예술
하루 10분! 뇌운동 프로젝트 - 프랑스어 기초 트레이닝,기타외국어
코리안브로스 TALK!TALK 10분 리얼영어 (문화차이 feat.외국인),영어
합격 전기(산업)기사 필기 - 전기설비기준,국가기술자격
하루 10분! 뇌운동 프로젝트 - 프랑스어 심화 트레이닝2,기타외국어
네이버가 픽한 슬기로운 취미영어생활 플러스 Step 1,영어
2080 리얼잉글리시 회화 핵심패턴 Step2,영어
[트렌드 인사이트] 지금 주목해야 할 NEW 라이프 트렌드,사회/교양
[HD]한글 2022 제대로 배우기 - 기본2,OA활용
독공 전산세무 2급 필기,국가기술자격
CS리더스관리사 - CS전략론,국가기술자격
[스낵영어] 한번 배워 평생 쓰는 화상회의 필수영어.ZIP,영어
[행복의 공식] 육아휴직 복귀지원 교육,건강관리
하루 10분! 뇌운동 프로젝트 - 프랑스어 심화 트레이닝1,기타외국어
2080 리얼잉글리시 심화 테마토크,영어
퀵 토익 이미지 VOCA 자동암기 Step1,영어
40장면으로 끝나는 오석태의 미드영어회화 Step 2,영어
[HD]사무자동화산업기사 필기 - 사무경영관리개론,국가기술자격
[AIxHuman] 인공지능에 윤리를 더하다,신기술교육
[HD]한글 2022 제대로 배우기 - 기본1,OA활용
키워드로 듣고 답하는 퀵 오픽 AL+ Step1 문제유형,영어
"[소확성] 건강식이 만드는 저절로 다이어트, 채소과일식의 모든 것",건강관리
키워드로 듣고 답하는 퀵 오픽 AL+ Step3 롤플레이 및 실전모의고사,영어
"[소확성] 롱런을 위한 원픽 투자처, 내 몸에 투자하라",건강관리
10분으로 쉽게 마스터하는 비즈니스 무역 영어 Step2,영어
독공 전산세무 2급 실기,국가기술자격
[다시중] 다시 시작하는 중국어회화 기초 Step2,중국어
[HD]사무자동화산업기사 필기 - 프로그래밍일반,국가기술자격
[HD]사무자동화산업기사 실기 - 스프레드시트,국가기술자격
코리안브로스 TALK!TALK 10분 리얼영어 (현지체험 feat.외국인),영어
독공 전산세무 1급 필기,국가기술자격
코리안브로스 TALK!TALK 10분 리얼영어 (생각차이 feat.외국인),영어
[온캠] 한번에 끝내는 컴퓨터활용능력 2급 실기,국가기술자격
독공 전산회계 1급 필기,국가기술자격
스낵영어_입에 붙는 미드 속 찐영어,영어
스낵영어_생각이 180도 바뀌는 콩글리쉬 탈출 영어!,영어
[오늘부터 정시퇴근] 파워포인트 실무 디자인 2016+365,OA활용
답이 바로 풀리는 퀵 토익 실전 모의고사 2,영어
[다시일] 다시 시작하는 일본어회화 실전,일본어
[다시영] 다시 시작하는 영어회화 기초 Step2,영어
스낵영어_MBTI로 보는 현실 공감 100배 영어,영어
[온캠] 한번에 끝내는 컴퓨터활용능력 2급 필기,국가기술자격
하루 10분! 뇌운동 프로젝트 - 중국어 기초 트레이닝2,중국어
[오늘부터 정시퇴근] 파워포인트 실무 테크닉 - 보고서 디자인편,OA활용
답이 바로 풀리는 퀵 토익 실전 모의고사 3,영어
[다시중] 다시 시작하는 중국어회화 기초 Step1,중국어
설득력을 높이는 데이터 시각화 : 파워포인트 ＆ 엑셀,OA활용
독공 전산회계 1급 실기,국가기술자격
독공 전산세무 1급 실기,국가기술자격
"요즘의 책읽기 - 함께, 깊게 읽는 독서 모임 만드는 법",사회/교양
키워드로 듣고 답하는 퀵 오픽 IM+ Step2,영어
"[컬러테라피] Color! 너와 나의 연결고리, 색채심리",건강관리
세상을 뒤바꿀 미래기술 25,신기술교육
"에코 라이프 시대, 친환경 컴퍼니를 만나다",사회/교양
[오늘부터 정시퇴근] 엑셀 실무 데이터 분석 2016+365,OA활용
[HD]사무자동화산업기사 필기 - 정보통신개론,국가기술자격
답이 바로 나오는 퀵 토익 스피킹 AL－AH 공략 Step 2,영어
12345 스페인어 첫걸음 회화 왕초보도 쉽게 말하기 Step 1 - 스페인어의 기초 & 한 마디로 자신 있게 말해요,기타외국어
합격 전기(산업)기사 필기 - 회로이론,국가기술자격
[HD]사무자동화산업기사 필기 - 사무자동화 시스템,국가기술자격
[소확성] 2030 여성을 위한 힐링 `마음상담`,건강관리
독공 전산회계 2급 필기,국가기술자격
처음 배우는 머신러닝,프로그래밍
[다시중] 다시 시작하는 중국어회화 실전 Step2,중국어
합격 전기(산업)기사 필기 - 전기기기,국가기술자격
답이 바로 풀리는 퀵 토익 실전 모의고사 1,영어
독공 전산회계 2급 실기,국가기술자격
10분으로 쉽게 마스터하는 비즈니스 무역 영어 Step1,영어
[How2업스킬] MBTI로 가화만사성! 성격유형으로 보는 부부＆자녀 대화법,아동/청소년
답이 바로 나오는 퀵 토익 스피킹 IM－IH 공략 Step 2,영어
네이버가 픽한 슬기로운 취미영어생활 플러스 Step 2,영어
스낵영어_신기한 영어 세계로의 글로벌 여행기 2탄 <아시아권>,영어
[HD]사무자동화산업기사 실기 - 프레젠테이션,국가기술자격
New Creative에 도전하는 인공지능 콘텐츠,사회/교양
2080 리얼잉글리시 회화 핵심패턴 Step1,영어
하루5분! 핫한 중국어 0순위 생생중국어,중국어
답이 바로 써지는 퀵 토익 Writing 기본 Step 1,영어
일잘러의 진짜 엑셀 - 활용,OA활용
[오늘부터 정시퇴근] 파워포인트 실무 테크닉 - 슬라이드 디자인편,OA활용
답이 바로 써지는 퀵 토익 Writing 기본 Step 2,영어
"커리어 2라운드, 새롭게 커리어로 도약하는 법",사회/교양
CS리더스관리사 - 고객관리실무론,국가기술자격
지금은 K-OTT 시대,신기술교육
도쿄 리테일 트렌드,사회/교양
0순위 왕초보 영어회화 Step1,영어
[다시중] 다시 시작하는 중국어회화 실전 Step1,중국어
인공지능이 이렇게 쉬웠어?,신기술교육
10분으로 쉽게 마스터하는 비즈니스 계약 영어 Step2,영어
답이 바로 나오는 퀵 토익 스피킹 실전,영어
합격 전기(산업)기사 필기 - 전력공학,국가기술자격
퀵 토익 이미지 VOCA 자동암기 Step2,영어
12345 스페인어 첫걸음 회화 왕초보도 쉽게 말하기 Step 2 - 두세 마디로 당당하고 시원하게 말해요,기타외국어
10분으로 쉽게 마스터하는 비즈니스 계약 영어 Step1,영어
네이버가 픽한 슬기로운 일상영어생활 플러스 Step 1,영어
"입사에서 퇴사까지, 직장인을 위한 노동법 이야기",사회/교양
하루 10분! 뇌운동 프로젝트 - 중국어 기초 트레이닝1,중국어
스낵영어_신기한 영어 세계로의 글로벌 여행기 1탄 <영어권>,영어
[다시영] 다시 시작하는 영어회화 기초 Step1,영어
CS리더스관리사 - CS개론,국가기술자격
"기후 변화 시대, 새로운 마인드셋",사회/교양
[다시영] 다시 시작하는 영어회화 실전 Step1,영어
10분으로 쉽게 마스터하는 비즈니스 이메일 영어 Step1,영어
[다시일] 다시 시작하는 일본어회화 기초 Step2,일본어
40장면으로 끝나는 오석태의 미드영어회화 Step 1,영어
[직장인의 품격] 갑질예방교육,기타
"[생생고민톡] 김기리, 윤태진과 함께하는 성매매 예방교육",기타
"[고민 영수증] 김지민, 박영진과 함께하는 직장 내 성희롱 예방교육",기타
[슬기로운 직장생활] 감정노동자 보호 교육,기타
[직장인의 품격] 정보보안,기타
[행복의 공식] 정보보안,기타
[슬기로운 직장생활] 지능정보서비스 과의존 예방교육,기타
[지식퀴즈쇼] 이달의 소녀와 함께하는 직장 내 괴롭힘 예방교육,기타
[행복의 공식] 지능정보서비스 과의존 예방교육,기타
"[직장인 고민찻집] 강재준, 이은형과 함께하는 가정폭력 예방교육",기타
[슬기로운 직장생활] 직장 내 괴롭힘 예방교육,기타
[지식퀴즈쇼] 이달의 소녀와 함께하는 감정노동자보호교육,기타
"[직장인 고민찻집] 강재준, 이은형과 함께하는 감정노동자 보호 교육",기타
[행복의 공식] 공정사회 및 인권사회 구현,인권
"[직장인 고민찻집] 강재준, 이은형과 함께하는 직장 내 괴롭힘 예방교육",기타
"[생생고민톡] 김기리, 윤태진과 함께하는 성폭력 예방교육",기타
[슬기로운 직장생활] 갑질예방교육,기타
[지식퀴즈쇼] 이달의 소녀와 함께하는 개인정보보호교육,기타
[행복의 공식] 윤리경영,기타
[직장인의 품격] 공정사회 및 인권사회 구현,인권
[지식퀴즈쇼] 이달의 소녀와 함께하는 직장 내 장애인 인식개선 교육,기타
[행복의 공식] 퇴직연금교육,기타
"[직장인 고민톡톡] 김일중, 최희와 함께하는 직장 내 장애인 인식개선 교육",기타
"[직장인 고민찻집] 강재준, 이은형과 함께하는 직장 내 성희롱 예방교육",기타
[슬기로운 직장생활] 공정사회 및 인권사회 구현,인권
"[고민 영수증] 김지민, 박영진과 함께하는 직장 내 괴롭힘 예방교육",기타
"[생생고민톡] 김기리, 윤태진과 함께하는 개인정보보호 교육",기타
[슬기로운 직장생활] 직장 내 장애인 인식개선 교육,기타
"[생생고민톡] 김기리, 윤태진과 함께하는 직장 내 장애인 인식개선 교육",기타
[행복의 공식] 갑질예방교육,기타
[직장인의 품격] 퇴직연금 교육,기타
"[직장인 고민톡톡] 김일중, 최희와 함께하는 성폭력 예방교육",기타
"[직장인 고민톡톡] 김일중, 최희와 함께하는 개인정보보호 교육",기타
"[직장인 고민톡톡] 김일중, 최희와 함께하는 성매매 예방교육",기타
"[고민 영수증] 김지민, 박영진과 함께하는 가정폭력 예방교육",기타
"[고민 영수증] 김지민, 박영진과 함께하는 감정노동자 보호 교육",기타
[직장인의 품격] 지능정보서비스 과의존 예방교육,기타
[행복의 공식] 청탁금지법,기타
[직장인의 품격] 윤리경영,기타
[서울시복지재단] (이룸통장)발달장애인 금융복지제도,금융
[서울시복지재단] (이룸통장)발달장애인을 위한 성년후견제도 및 신탁의 이해와 활용,금융
"[서울시복지재단 금융교육] 세금, 어디까지 알고 있니?",금융
[서울시복지재단] (이룸통장)발달장애인 금융범죄예방,금융
[서울시복지재단] (이룸통장)발달장애인 생활금융,금융
[서울시복지재단 금융교육] 20대 재무설계 100살까지 간다.,금융
[서울시복지재단 금융교육] 재테크! 알고만 있어도 도움이 된다!,금융
[서울시복지재단 금융교육] 대출! 알고 받으면 위험하지 않다!,금융
e-정보와 인권(인권교육용),인권
지방보조금Ⅰ,사회/교양
지방보조금Ⅲ,사회/교양
지방보조금Ⅱ,사회/교양
신고의무자 및 관련 종사자를 위한 인신매매등 피해자 식별과 보호?지원,인권
2023년 양천구 주민자치학교,사회/교양
중소기업 기술보호 온라인 실무교육(12차시),신기술교육
2023 하반기 화상강의 - 50대에 도전해서 부자되는 법,창업
양천구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
서대문구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
서초구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
강북구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
관악구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
영등포구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
종로구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
금천구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
강서구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
성북구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
중랑구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
광진구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
용산구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
구로구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
도봉구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
강남구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
동대문구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
은평구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
동작구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
송파구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
중구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
노원구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
성동구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
마포구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
강동구 공인중개사 연수교육 과정 Ⅰ(사이버교육필수),공인중개사 연수교육
슬기로운 에너지생활,사회/교양
노인화상 사고예방 및 응급처치를 위한 노인 화상예방송,사회/교양
도봉구 주민참여예산학교 온라인 교육,사회/교양
도로교통공단과 함께하는 음주운전 예방 교육,사회/교양
도로교통공단과 함께하는 알아야할 교통법규,사회/교양
도로교통공단과 함께하는 사례별 교통안전,사회/교양
[서울시복지재단] (이룸통장)발달장애인을 위한 생활경제 교육,금융
노인학대 신고의무자 교육_시설종사자편,기타
노인학대 신고의무자 교육_전국민편,기타
의료인을 위한 노인학대 예방 및 신고의무 교육,기타
2023년 양천구 주민참여예산학교,사회/교양
서울특별시 건축안전자문단 건축물안전관리시스템,기타
민간위탁사업실무,사회/교양
민간위탁기관 예산회계 및 인사노무 실무,사회/교양
2023년 성북구 주민참여예산학교 기본과정,기타
모두를 위한 교육 디자인 툴킷! 모두툴킷 사용설명서,사회/교양
소상공인을 위한 상표가이드 분쟁편,창업과정
[3분IP창업]IP디딤돌프로그램 교육 안내,창업과정
[3분IP창업]비즈니스 모델링,창업과정
소상공인을 위한 상표가이드 등록편,창업과정
[3분IP창업]스타트업 창업 트렌드와 기업가 정신,창업과정
노인일자리 사례로 배우는 안전사고 예방교육,사회/교양
"함께하는 인권사전, 감정노동자편(인권교육용)",사회/교양
노인일자리 화상예방교육,사회/교양
노인일자리 적응하기,사회/교양
"[정동, 근대를묻다-1편] 근대 정동의 역사와 외교",문화예술
"[정동, 근대를묻다-2편] 정동, 세계 건축의 용광로",문화예술
"[정동, 근대를묻다-3편] 커피향 흐르는 정동",문화예술
"[정동, 근대를묻다-4편] 근대 교육의 발상지",문화예술
"[정동, 근대를묻다-5편] 정동, 개신교의 요람",문화예술
이모티콘 제안하기 - 나만의 이모티콘 만들기,웹툰/이모티콘
시즌제 드라마 기획의 노하우 - 이유 있는 시즌 드라마의 성공법칙,방송/영상
"게임인 인터뷰: 5. 게임 운영사, 서비스 운영 직무",콘텐츠산업 전문과정
Photogrammetry 활용하기 - 준비 가이드,전문기술과정
Photogrammetry 활용하기 - Reality Capture를 이용한 3D 모델링,전문기술과정
[수어자막] 배리어프리 사례 알아보기 2 - 연극/공연 - 모두를 위한 즐거움 - 콘텐츠산업 내 배리어프리,콘텐츠산업 전문과정
[수어자막] 1인 크리에이터를 위한 저작권 노하우 - 1인 크리에이터를 위한 창작 시 저작권 관련 주의사항(1),방송/영상
"사이버폭력에 대한 법적 대처법 - 표현의 자유는 어디까지인가, 사이버폭력",콘텐츠산업 전문과정
"웹툰 회사에서는 어떤 일을 할까? - 웹툰 회사, 이런 일을 해요: 스튜디오 제작 시스템",웹툰/이모티콘
MCN 비즈니스 전략 2 : MCN 사업자들의 대응 - 수익모델 절실히 찾기,콘텐츠산업 전문과정
단편 애니메이션 스토리텔링 - 애니메이션 스토리텔링,콘텐츠산업 전문과정
웹툰 프로듀서를 위한 실전 만화기획 - 뚜렷한 주제와 정확한 로그라인 만들기,웹툰/이모티콘
2강 콘텐츠 제작을 위한 다문화 수용성,콘텐츠산업 전문과정
"인권침해에 관한 규제 법안 심의 사례 - 제작자의 필수조건, 제작윤리의 모든 것",콘텐츠산업 전문과정
[수어자막] 배리어프리 관련 직업탐구 2 - 콘텐츠산업 내 배리어프리,콘텐츠산업 전문과정
국내?외 다큐멘터리 시장의 특징 및 접근방향 - 다큐멘터리 영화 기획과 스토리텔링,콘텐츠산업 전문과정
"FRAPA, 포맷 바이블 - 한국 포맷 바이블 작성의 이해",콘텐츠산업 전문과정
<조재원의 색다른 체험기> 사례 연구 - 숏폼 콘텐츠 기획 및 성공 사례 분석,방송/영상
"시선을 사로잡는 힘, 공연 무대의 비밀 - 정서적 묘사 vs 사실적 묘사 그 사이! - 상처로 둘러싸인 두 세계, <웃는 남자>",콘텐츠산업 전문과정
[수어자막] 인공지능기술 활용사례 - 게임 기획/개발 분야,인공지능
구성과 편집 - 다큐멘터리 글쓰기,콘텐츠산업 전문과정
프로그램 기획하기 - 다큐멘터리 글쓰기,콘텐츠산업 전문과정
UHD 오디오를 위한 MPEG-H 활용 - 방송사운드의 역사와 MPEG-H 도입,콘텐츠산업 전문과정
자료조사부터 가구성안까지 - 다큐멘터리 지식채널e 숏 콘텐츠 5분의 미학,방송/영상
이모티콘 텍스트 및 그림 그리기 - 나만의 이모티콘 만들기,웹툰/이모티콘
실제 작업했던 사례의 Work Process - 아트앤테크닉:무대기술,콘텐츠산업 전문과정
이모티콘 캐릭터 만들기 - 나만의 이모티콘 만들기,웹툰/이모티콘
[수어자막] 배리어프리 사례 알아보기 3 - 기타 - 모두를 위한 즐거움 - 콘텐츠산업 내 배리어프리,콘텐츠산업 전문과정
<박나래의 복붙쇼> 사례 연구 - 숏폼 콘텐츠 기획 및 성공 사례 분석,방송/영상
왜 시즌 드라마인가? - 이유 있는 시즌 드라마의 성공법칙,방송/영상
로그분석 - 분석 실습,전문기술과정
MCN 비즈니스 전략 1 : 미디어 시장 환경의 변화,콘텐츠산업 전문과정
토크쇼 분야 - 예능작가 실무 노하우,콘텐츠산업 전문과정
[수어자막] 1인 크리에이터를 위한 저작권 노하우 - 1인 크리에이터를 위한 창작 시 저작권 관련 주의사항(2),방송/영상
핑크퐁 아기상어 - 국내 애니메이션 해외진출과 성공사례,콘텐츠산업 전문과정
