강의 명,강의 카테고리명
플라워디자인 기초(꽃다발/꽃바구니/꽃꽂이상품),사회/교양
플라워디자인 기초(꽃다발/꽃바구니/꽃꽂이상품),사회/교양
플라워디자인 기초(꽃다발/꽃바구니/꽃꽂이상품),사회/교양
플라워디자인 기초(꽃다발/꽃바구니/꽃꽂이상품),사회/교양
(프리저브드)플라워디자인,사회/교양
플랜테리어(식물/식재),사회/교양
호텔객실관리사(호텔룸메이드),사회/교양
베이비시터,사회/교양
베이비시터,사회/교양
네이버 스마트스토어 쇼핑몰 운영,사회/교양
세무실무2급 TAT2급 더존,사회/교양
쇼핑몰 상세페이지 제작 포토샵,콘텐츠산업 전문과정
부동산 실무 법률 입문,콘텐츠산업 전문과정
부동산 등기 실무 입문,사회/교양
커피 핸드드립,사회/교양
[내일배움]점역교정사(입문),사회/교양
밑반찬 단품요리(실기)Ⅱ,국가기술자격
"글로벌 음식조리(양식,일식,동남아식)",콘텐츠산업 전문과정
양식브런치메뉴(실기),국가기술자격
중식조리기능사,사회/교양
직업상담사1급 자격증 (2차실기 대비),사회/교양
사회복지사1급자격증취득(전과목대비),사회/교양
"전산회계자격증(전산회계1급, 더존 FAT1급)",사회/교양
디지털금융교육강사 양성과정,사회/교양
[서로배움]LP싸롱과 함께하는 환상적인 음악여행,기타
현직 멘토가 알려주는 패션제품 수익화 핵심 직무 정보,콘텐츠산업 전문과정
엑셀을 활용한 데이터 비즈니스 활용,콘텐츠산업 전문과정
현직 SNS마케팅 기획 전문가가 알려주는 브랜딩 핵심 정보,사회/교양
[OA입문]한글 기본 기능 익히기,사회/교양
"[특강]AI와 인간, 공존의 시대: 어떻게 살 것인가",사회/교양
유튜브 채널 운영 도전하기: 채널 개설과 영상 업로드,사회/교양
[OA실무] 실무에 바로 적용하는 엑셀,사회/교양
[OA실무] 실무에 바로 적용하는 파워포인트,사회/교양
[OA실무] 실무에 바로 적용하는 한글,사회/교양
정리수납 컨설턴트,사회/교양
정리수납 컨설턴트,사회/교양
큐텐 일본 셀러로 온라인 창업하기,사회/교양
AI와 함께하는 영상 제작,사회/교양
저작권 걱정없는 공공저작물 만들기 실습,사회/교양
스마트 콘텐츠 활용 전문지도사 과정,콘텐츠산업 전문과정
유튜브 채널 운영 완전정복: OBS로 나만의 콘텐츠 만들기,사회/교양
슬기로운 강사생활1: 스마트폰 하나로 동영상 강의 자료 만들기,사회/교양
캘리그라피 기초(손글씨),사회/교양
40대 직업전환 프로그램 시니어인지케어 활동전문가 양성과정,콘텐츠산업 전문과정
40대 직업전환 프로그램 아동교육용 디지털 동화책 작가 양성과정,콘텐츠산업 전문과정
ITQ엑셀 자격증취득,사회/교양
양식조리실무향상(카페브런치),사회/교양
요양보호사 취득(사회복지사 소지자),사회복지사
"요양보호사 취득(물리치료사, 작업치료사, 간호조무사소지자)",사회/교양
산모와 신생아 건강관리사(경력자&자격증소지자),사회/교양
정리수납전문가2급 자격증 취득,사회/교양
국제무역사1급 자격증 취득,사회/교양
청소년상담사3급 자격증(필기시험대비),사회/교양
정리수납전문가2급 자격증취득,사회/교양
일식조리기능사 자격 취득과정,사회/교양
쉽게 배우는 파워포인트 기초,사회/교양
쉽게 배우는 엑셀 기초,사회/교양
비즈니스 엑셀 실무(심화),사회/교양
회사에서 인정받는 보고서 작성 실무,사회/교양
해외 구매대행 실무,사회/교양
기초OA 엑셀실무과정(기초부터 실무까지),사회/교양
일러스트 기초 5주 완성,사회/교양
포토샵 기초 5주 완성,사회/교양
퇴근 후 쉽게 하는 블로그 자동 수익 만들기,사회/교양
SNS 인플루언서 입문 6주 완성반,사회/교양
[비대면]도전 작사가 첫걸음(작사입문클래스),사회/교양
[비대면]도전 바로 쓰는 글쓰기(기초부터 스토리텔링까지),콘텐츠산업 전문과정
[비대면]도전 웹소설 작가 데뷔입문,사회/교양
초보자도 따라 하는 근육 근막이완테크닉,사회/교양
미싱기초 파자마 레깅스 바지,사회/교양
처음하는 미싱 스커트 잠옷,사회/교양
노인운동지도자 1급,사회복지사
운동처방사 2급,사회/교양
내 옷 만들기 팬츠 티셔츠 원피스,사회/교양
바리스타 실전,사회/교양
카페메뉴 실무,사회/교양
카페 창업,창업과정
제과기능사(오전),사회/교양
제과기능사(야간),사회/교양
쉽게 만드는 레터링 케익,사회/교양
제과기능장에게 배우는 카페베이커리,사회/교양
(퇴근 후 즐기는)소확행 베이킹,사회/교양
건강하고 맛있는 비건 베이킹,사회/교양
건강밥상 반찬창업,사회/교양
한식조리기능사(오전),사회/교양
중식조리기능사(오전),사회/교양
케이터링(홈파티요리),사회/교양
SNS맛집 따라잡기,사회/교양
비건요리로 떠나는 세계미식여행,사회/교양
헤어미용사 자격증(오후),사회/교양
동물미용사(반려동물 미용관리),사회/교양
경락&전신체형관리,사회/교양
네일미용사,사회/교양
펫 패션 제작(기초),콘텐츠산업 전문과정
전통과 현대의 민화,사회/교양
쉽고 재미있게 만드는 나만의 AI 동화책,사회/교양
[OA입문] 한글 기본 기능 익히기,사회/교양
SNS 이모티콘 제작,콘텐츠산업 전문과정
SNS 이모티콘 제작(주말반),콘텐츠산업 전문과정
컴퓨터기초활용 2회차,사회/교양
실버인지여가교육지도사 3회차,사회/교양
실버인지여가교육지도사 3회차,사회/교양
실버인지여가교육지도사 3회차,사회/교양
웃음&레크레이션지도사 2회차,사회/교양
웃음&레크레이션지도사 2회차,사회/교양
웃음&레크레이션지도사 2회차,사회/교양
베이비시터 7회차,사회/교양
스마트폰기초활용 2회차,사회/교양
스마트폰교육강사 1회차,사회/교양
스마트폰교육강사 1회차,사회/교양
도형심리상담사 2회차,사회/교양
도형심리상담사 2회차,사회/교양
종이접기 2회차,사회/교양
종이접기 2회차,사회/교양
컵타지도사 2회차,사회/교양
재봉틀로 만드는 신생아용품,사회/교양
동화구연3급지도사 4회차,사회/교양
디지털인지코딩지도사 1회차,사회/교양
디지털인지코딩지도사 1회차,사회/교양
(오전)SCA커피바리스타 <스킬> 초급+중급 2회차,사회/교양
(오전)SCA커피바리스타 <스킬> 초급+중급 2회차,사회/교양
캘리그라피 3회차,사회/교양
캘리그라피 3회차,사회/교양
타로심리상담사 3회차,사회/교양
타로심리상담사 3회차,사회/교양
타로심리상담사 3회차,사회/교양
"(평일오전)디지털 출판편집디자인(포토샵, 일러스트, 인디자인, 포트폴리오) 2회차",사회/교양
(평일오전)쇼핑몰(스마트스토어) 운영 및 마케팅 기초 5회차,사회/교양
"(평일오전)SNS 온라인마케팅(블로그, 인스타그램, 유투브)과정 7회차",사회/교양
"(월수금 오후)디지털비지니스 [카카오, 라인 이모티콘] 제작 6회차",콘텐츠산업 전문과정
"(평일오후)그래픽디자인 기초 GTQ(포토샵), GTQi(일러스트)자격증 취득 3회차",사회/교양
(화목 오후) 미리캔버스를 활용한 광고디자인 2회차,사회/교양
"(평일오후)SCA커피바리스타 실무과정+자격증취득(파운,인터, 프로) 5회차",사회/교양
"(평일오전)SCA커피바리스타 실무과정+자격증취득(파운,인터, 프로) 6회차",사회/교양
(월수금 오후)정리수납전문가 실무향상과정(2급) 6회차,사회/교양
"(화목 오후) 캘리그라피 입문+디자인(붓글씨, 손글씨) 4회차",콘텐츠산업 전문과정
